,tweet_id,retweet_count,favorite_count,retweeted,display_text_range
1921,674082852460433408,186,804,False,"[0, 94]"
1922,674075285688614912,316,1047,False,"[0, 121]"
1923,674063288070742018,2450,6769,False,"[0, 135]"
1924,674053186244734976,1441,3576,False,"[0, 136]"
1925,674051556661161984,530,1564,False,"[0, 109]"
1926,674045139690631169,710,1520,False,"[0, 137]"
1927,674042553264685056,142,772,False,"[0, 94]"
1928,674038233588723717,456,1176,False,"[0, 100]"
1929,674036086168010753,240,906,False,"[0, 144]"
1930,674024893172875264,1360,1914,False,"[0, 112]"
1931,674019345211760640,340,1208,False,"[0, 139]"
1932,674014384960745472,714,1676,False,"[0, 139]"
1933,674008982932058114,393,1297,False,"[0, 140]"
1934,673956914389192708,1069,2091,False,"[0, 95]"
1935,673919437611909120,401,1251,False,"[0, 133]"
1936,673906403526995968,1799,3406,False,"[0, 139]"
1937,673887867907739649,274,994,False,"[0, 117]"
1938,673716320723169284,843,3289,False,"[0, 88]"
1939,673715861853720576,2303,3815,False,"[0, 134]"
1940,673711475735838725,325,1114,False,"[0, 66]"
1941,673709992831262724,306,908,False,"[0, 122]"
1942,673708611235921920,315,1153,False,"[0, 111]"
1943,673707060090052608,434,1177,False,"[0, 116]"
1944,673705679337693185,439,1337,False,"[0, 131]"
1945,673700254269775872,638,1532,False,"[0, 139]"
1946,673697980713705472,2165,4067,False,"[0, 117]"
1947,673689733134946305,700,1855,False,"[0, 88]"
1948,673688752737402881,534,1325,False,"[0, 83]"
1949,673686845050527744,479,1544,False,"[0, 93]"
1950,673680198160809984,521,1460,False,"[0, 76]"
1951,673662677122719744,397,1339,False,"[0, 75]"
1952,673656262056419329,265,769,False,"[0, 140]"
1953,673636718965334016,404,1194,False,"[0, 139]"
1954,673612854080196609,802,1691,False,"[0, 135]"
1955,673583129559498752,403,1273,False,"[0, 137]"
1956,673580926094458881,297,882,False,"[0, 101]"
1957,673576835670777856,613,1482,False,"[0, 138]"
1958,673363615379013632,338,1088,False,"[0, 136]"
1959,673359818736984064,728,1558,False,"[0, 118]"
1960,673355879178194945,652,1606,False,"[0, 134]"
1961,673352124999274496,597,1761,False,"[0, 98]"
1962,673350198937153538,229,784,False,"[0, 117]"
1963,673345638550134785,1422,2700,False,"[0, 136]"
1964,673343217010679808,289,1038,False,"[0, 53]"
1965,673342308415348736,649,1362,False,"[0, 77]"
1966,673320132811366400,8705,14441,False,"[0, 97]"
1967,673317986296586240,293,924,False,"[0, 119]"
1968,673295268553605120,3484,8046,False,"[0, 140]"
1969,673270968295534593,400,1134,False,"[0, 71]"
1970,673240798075449344,798,1510,False,"[0, 140]"
1971,673213039743795200,929,2410,False,"[0, 72]"
1972,673148804208660480,688,1822,False,"[0, 126]"
1973,672997845381865473,786,2092,False,"[0, 118]"
1974,672995267319328768,328,1001,False,"[0, 120]"
1975,672988786805112832,314,1039,False,"[0, 130]"
1976,672984142909456390,593,1338,False,"[0, 120]"
